entry_time,entry_price,exit_time,exit_price,direction,size,stop_level,exit_reason,raw_pnl,fees,net_pnl,symbol,day,prev_close,prev_atr,upper_level,lower_level,isFiltered,position_size,portfolio_pnl,equity,drawdown
2023-12-19 14:51:00+00:00,2188.1067,2023-12-20 04:49:00+00:00,2215.715807142857,short,1.0,2215.715807142857,stop_loss,-27.609107142857283,6.605733760714287,-34.21484090357157,ETHUSDT,2023-12-19,2234.49,110.43642857142856,2280.8733,2188.1067,False,0.21171218889191523,-7.2436988602837715,285.0155264680021,-74.3000088164417
2023-12-20 14:30:00+00:00,2260.7577,2023-12-20 16:54:00+00:00,2233.3721642857145,long,1.0,2233.3721642857145,stop_loss,-27.38553571428565,6.741194796428573,-34.126730510714225,ETHUSDT,2023-12-20,2214.75,109.54214285714284,2260.7577,2168.7423,False,0.20815041154686953,-7.103493000554275,277.9120334674478,-74.94053429850595
2023-12-21 15:03:00+00:00,2213.9995000000004,2023-12-21 17:32:00+00:00,2242.4521785714287,short,1.0,2242.4521785714287,stop_loss,-28.45267857142835,6.684677517857146,-35.1373560892855,ETHUSDT,2023-12-21,2261.8,113.81071428571424,2309.6005,2213.9995000000004,False,0.19535034831238868,-6.864094750818353,271.04793871662946,-75.55947312182282
2023-12-24 22:16:00+00:00,2246.8839,2023-12-25 01:12:00+00:00,2275.345864285714,short,1.0,2275.345864285714,stop_loss,-28.461964285714203,6.783344646428574,-35.24530893214278,ETHUSDT,2023-12-24,2294.7,113.84785714285712,2342.5161,2246.8839,False,0.19046326950292458,-6.712936773856545,264.3350019427729,-76.1647819554918
2023-12-25 20:37:00+00:00,2259.5927,2023-12-25 22:17:00+00:00,2284.5375214285714,short,1.0,2284.5375214285714,stop_loss,-24.94482142857123,6.816195332142858,-31.76101676071409,ETHUSDT,2023-12-25,2301.5,99.77928571428568,2343.4073,2259.5927,False,0.21193577408416328,-6.731295672882024,257.60370626989095,-76.77174622017866
2023-12-26 16:25:00+00:00,2207.6859,2023-12-26 22:20:00+00:00,2232.6407214285714,short,1.0,2232.6407214285714,stop_loss,-24.95482142857145,6.660489932142859,-31.61531136071431,ETHUSDT,2023-12-26,2249.61,99.81928571428564,2291.5341000000003,2207.6859,False,0.20645606061116023,-6.527172638528336,251.07653363136262,-77.3603046097602
2023-12-27 14:46:00+00:00,2329.0647,2023-12-28 13:00:00+00:00,2372.09,long,1.0,2303.6988071428573,end_of_day,43.02530000000024,7.051732049999998,35.973567950000245,ETHUSDT,2023-12-27,2286.45,101.46357142857134,2329.0647,2243.8353,False,0.19796388405911283,7.121467234846466,258.1980008662091,-76.71815838208758
2023-12-29 15:52:00+00:00,2323.3268000000003,2023-12-30 13:00:00+00:00,2295.2,short,1.0,2349.263228571429,end_of_day,28.126800000000458,6.9277902000000005,21.199009800000457,ETHUSDT,2023-12-29,2366.9,103.7457142857142,2410.4732,2323.3268000000003,False,0.19910065887069583,4.220736818586429,262.4187376847955,-76.33757245271727
2023-12-31 22:52:00+00:00,2259.8919,2024-01-01 00:03:00+00:00,2286.7538642857144,short,1.0,2286.7538642857144,stop_loss,-26.861964285714294,6.8199686464285705,-33.681932932142864,ETHUSDT,2023-12-31,2305.02,107.44785714285707,2350.1481,2259.8919,False,0.19538313348466124,-6.580881598102277,255.83785608669325,-76.93097380578446
2024-01-01 20:00:00+00:00,2344.8994,2024-01-02 13:00:00+00:00,2387.85,long,1.0,2319.4711857142856,end_of_day,42.95060000000012,7.099124099999997,35.851475900000125,ETHUSDT,2024-01-01,2302.18,101.71285714285712,2344.8994,2259.4606,False,0.20122361186048854,7.214163471127284,263.0520195578206,-76.28046911257599
2024-01-02 21:04:00+00:00,2347.0406000000003,2024-01-02 22:09:00+00:00,2372.6295285714286,short,1.0,2372.6295285714286,stop_loss,-25.58892857142837,7.079505192857141,-32.66843376428551,ETHUSDT,2024-01-02,2390.03,102.35571428571426,2433.0194,2347.0406000000003,False,0.20559830695806067,-6.716574672908646,256.3354448849119,-76.88610597740427
