symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,bb_trendline_rr4,2025-07-09 20:00:00+00:00,2025-07-09 20:00:00+00:00,2025-07-16 14:49:00+00:00,long,2763.92,3264.642,2638.7395,3264.642,500.72199999999975,18.085686,482.63631399999974,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-07-16 15:00:00+00:00,2025-07-16 15:00:00+00:00,2025-07-20 08:40:00+00:00,long,3252.53,3710.780000000002,3137.9674999999997,3710.780000000002,458.2500000000018,20.889930000000007,437.3600700000018,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-07-20 09:00:00+00:00,2025-07-20 09:00:00+00:00,2025-07-23 13:49:00+00:00,long,3711.56,3599.5370000000003,3599.5370000000003,4159.651999999998,-112.02299999999968,21.933291,-133.95629099999968,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-27 03:00:00+00:00,2025-07-27 03:00:00+00:00,2025-07-27 09:53:00+00:00,long,3786.0,3748.2264999999998,3748.2264999999998,3937.094000000001,-37.77350000000024,22.6026795,-60.37617950000024,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-27 11:00:00+00:00,2025-07-27 11:00:00+00:00,2025-07-28 18:05:00+00:00,long,3818.12,3761.6964999999996,3761.6964999999996,4043.814000000001,-56.42350000000033,22.7394495,-79.16294950000034,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-29 08:00:00+00:00,2025-07-29 08:00:00+00:00,2025-07-29 14:06:00+00:00,long,3877.13,3800.476,3800.476,4183.746,-76.654,23.032818,-99.68681799999999,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-30 19:00:00+00:00,2025-07-30 19:00:00+00:00,2025-07-30 23:30:00+00:00,short,3736.95,3792.3425,3792.3425,3515.3799999999983,-55.39250000000038,22.587877499999998,-77.98037750000037,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-31 01:00:00+00:00,2025-07-31 01:00:00+00:00,2025-07-31 13:34:00+00:00,long,3843.05,3787.9685000000004,3787.9685000000004,4063.3759999999993,-55.08149999999978,22.8930555,-77.97455549999978,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-31 20:00:00+00:00,2025-07-31 20:00:00+00:00,2025-08-03 00:37:00+00:00,short,3735.35,3363.734,3828.254,3363.734,371.616,21.297252,350.31874799999997,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-08-03 11:00:00+00:00,2025-08-03 11:00:00+00:00,2025-08-04 16:41:00+00:00,long,3482.86,3685.9660000000017,3432.0834999999997,3685.9660000000017,203.1060000000016,21.506478000000005,181.59952200000157,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-08-04 17:00:00+00:00,2025-08-04 17:00:00+00:00,2025-08-05 14:45:00+00:00,long,3683.27,3561.108,3561.108,4171.918,-122.16199999999981,21.733134000000003,-143.8951339999998,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-08-06 16:00:00+00:00,2025-08-06 16:00:00+00:00,2025-08-07 22:47:00+00:00,long,3663.16,3888.771999999999,3606.757,3888.771999999999,225.61199999999917,22.655796,202.95620399999916,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-08-10 01:00:00+00:00,2025-08-10 01:00:00+00:00,2025-08-10 03:27:00+00:00,long,4310.23,4221.76,4221.76,4664.109999999997,-88.46999999999935,25.59597,-114.06596999999934,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-08-18 02:00:00+00:00,2025-08-18 02:00:00+00:00,2025-08-22 14:09:00+00:00,short,4394.0,4501.8795,4501.8795,3962.482,-107.87950000000001,26.6876385,-134.5671385,bb_middle_stop
