type,price,timestamp,entry_price,pnl,entry_timestamp,gross_pnl,fee,exit_reason,bars_held
CLOSE_SHORT,3428.65,167057,3427.88,-5.912397499999982,167035.0,-0.7699999999999818,5.1423975,prediction_reversal_bullish,22.0
OPEN_LONG,3430.66,167059,3430.66,0.0,,,,,
CLOSE_LONG,3433.21,167065,3430.66,-2.597902499999818,167059.0,2.550000000000182,5.1479025,prediction_reversal_bearish,6.0
OPEN_SHORT,3436.67,167066,3436.67,0.0,,,,,
CLOSE_SHORT,3432.94,167078,3436.67,-1.422207499999982,167066.0,3.730000000000018,5.1522075,prediction_reversal_bullish,12.0
OPEN_LONG,3431.0,167079,3431.0,0.0,,,,,
CLOSE_LONG,3438.58,167083,3431.0,2.427814999999927,167079.0,7.579999999999927,5.152185,prediction_reversal_bearish,4.0
OPEN_LONG,3429.31,167086,3429.31,0.0,,,,,
CLOSE_LONG,3415.37,167111,3429.31,-19.073510000000056,167086.0,-13.940000000000055,5.13351,prediction_reversal_bearish,25.0
OPEN_SHORT,3419.37,167112,3419.37,0.0,,,,,
CLOSE_SHORT,3451.11,167128,3419.37,-36.89286000000023,167112.0,-31.740000000000236,5.1528599999999996,prediction_reversal_bullish,16.0
OPEN_SHORT,3458.84,167132,3458.84,0.0,,,,,
CLOSE_SHORT,3453.29,167137,3458.84,0.3659025000001819,167132.0,5.550000000000182,5.1840975,prediction_reversal_bullish,5.0
OPEN_SHORT,3464.11,167142,3464.11,0.0,,,,,
CLOSE_SHORT,3457.34,167148,3464.11,1.5789124999999808,167142.0,6.769999999999982,5.191087500000001,prediction_reversal_bullish,6.0
OPEN_LONG,3451.13,167152,3451.13,0.0,,,,,
CLOSE_LONG,3438.53,167163,3451.13,-17.76724499999991,167152.0,-12.599999999999909,5.167245,prediction_reversal_bearish,11.0
OPEN_SHORT,3454.4,167166,3454.4,0.0,,,,,
CLOSE_SHORT,3479.2,167175,3454.4,-30.00019999999973,167166.0,-24.799999999999727,5.200200000000001,prediction_reversal_bullish,9.0
OPEN_LONG,3467.28,167182,3467.28,0.0,,,,,
CLOSE_LONG,3469.17,167194,3467.28,-3.312337500000128,167182.0,1.8899999999998727,5.2023375000000005,prediction_reversal_bearish,12.0
OPEN_SHORT,3470.49,167205,3470.49,0.0,,,,,
CLOSE_SHORT,3479.57,167215,3470.49,-14.29254500000038,167205.0,-9.080000000000382,5.2125449999999995,prediction_reversal_bullish,10.0
OPEN_LONG,3464.45,167226,3464.45,0.0,,,,,
CLOSE_LONG,3470.26,167230,3464.45,0.6089675000004,167226.0,5.8100000000004,5.2010325,prediction_reversal_bearish,4.0
OPEN_SHORT,3472.68,167231,3472.68,0.0,,,,,
CLOSE_SHORT,3527.3,167272,3472.68,-59.86998500000035,167231.0,-54.620000000000346,5.249985,prediction_reversal_bullish,41.0
OPEN_LONG,3526.18,167274,3526.18,0.0,,,,,
CLOSE_LONG,3532.88,167281,3526.18,1.4057050000002729,167274.0,6.700000000000273,5.294295,prediction_reversal_bearish,7.0
OPEN_SHORT,3530.97,167282,3530.97,0.0,,,,,
CLOSE_SHORT,3528.36,167289,3530.97,-2.6844975000003277,167282.0,2.6099999999996726,5.2944975,prediction_reversal_bullish,7.0
OPEN_SHORT,3538.27,167297,3538.27,0.0,,,,,
CLOSE_SHORT,3527.23,167299,3538.27,5.7408749999999635,167297.0,11.039999999999964,5.299125,prediction_reversal_bullish,2.0
OPEN_SHORT,3537.82,167303,3537.82,0.0,,,,,
CLOSE_SHORT,3539.41,167315,3537.82,-6.897922499999691,167303.0,-1.5899999999996908,5.3079225,prediction_reversal_bullish,12.0
OPEN_SHORT,3545.33,167343,3545.33,0.0,,,,,
CLOSE_SHORT,3546.18,167366,3545.33,-6.16863249999991,167343.0,-0.849999999999909,5.3186325000000005,prediction_reversal_bullish,23.0
OPEN_LONG,3541.33,167368,3541.33,0.0,,,,,
CLOSE_LONG,3540.48,167377,3541.33,-6.161357499999909,167368.0,-0.849999999999909,5.3113575,prediction_reversal_bearish,9.0
OPEN_SHORT,3537.32,167395,3537.32,0.0,,,,,
CLOSE_SHORT,3538.98,167405,3537.32,-6.967224999999854,167395.0,-1.6599999999998545,5.307225,prediction_reversal_bullish,10.0
OPEN_SHORT,3546.64,167418,3546.64,0.0,,,,,
CLOSE_SHORT,3541.15,167422,3546.64,0.17415749999978125,167418.0,5.489999999999782,5.3158425000000005,prediction_reversal_bullish,4.0
OPEN_LONG,3535.08,167442,3535.08,0.0,,,,,
CLOSE_LONG,3526.82,167457,3535.08,-13.556424999999763,167442.0,-8.259999999999764,5.296425,prediction_reversal_bearish,15.0
OPEN_LONG,3508.48,167460,3508.48,0.0,,,,,
CLOSE_LONG,3501.32,167469,3508.48,-12.417349999999855,167460.0,-7.1599999999998545,5.257350000000001,prediction_reversal_bearish,9.0
OPEN_SHORT,3506.29,167470,3506.29,0.0,,,,,
CLOSE_SHORT,3508.01,167481,3506.29,-6.9807250000002545,167470.0,-1.7200000000002547,5.260725,prediction_reversal_bullish,11.0
OPEN_LONG,3502.43,167482,3502.43,0.0,,,,,
CLOSE_LONG,3484.78,167512,3502.43,-22.890407499999636,167482.0,-17.649999999999636,5.2404075,prediction_reversal_bearish,30.0
OPEN_SHORT,3490.07,167513,3490.07,0.0,,,,,
CLOSE_SHORT,3492.17,167528,3490.07,-7.336679999999909,167513.0,-2.099999999999909,5.23668,prediction_reversal_bullish,15.0
OPEN_SHORT,3502.76,167531,3502.76,0.0,,,,,
