type,price,timestamp,entry_price,pnl
OPEN_LONG,3089.02,3945,3089.02,0.0
CLOSE_LONG,3088.09,3964,3089.02,-0.9299999999998363
OPEN_SHORT,3088.09,3964,3088.09,0.0
CLOSE_SHORT,3078.89,3986,3088.09,9.200000000000273
OPEN_LONG,3078.89,3986,3078.89,0.0
CLOSE_LONG,3078.77,4028,3078.89,-0.11999999999989086
OPEN_SHORT,3078.77,4028,3078.77,0.0
CLOSE_SHORT,3086.71,4032,3078.77,-7.940000000000055
OPEN_LONG,3086.71,4032,3086.71,0.0
CLOSE_LONG,3094.61,4121,3086.71,7.900000000000091
OPEN_SHORT,3094.61,4121,3094.61,0.0
CLOSE_SHORT,3090.59,4134,3094.61,4.019999999999982
OPEN_LONG,3090.59,4134,3090.59,0.0
CLOSE_LONG,3086.93,4152,3090.59,-3.6600000000003092
OPEN_SHORT,3086.93,4152,3086.93,0.0
CLOSE_SHORT,3094.68,4162,3086.93,-7.75
OPEN_LONG,3094.68,4162,3094.68,0.0
CLOSE_LONG,3090.59,4173,3094.68,-4.089999999999691
OPEN_SHORT,3090.59,4173,3090.59,0.0
CLOSE_SHORT,3089.49,4185,3090.59,1.1000000000003638
OPEN_LONG,3089.49,4185,3089.49,0.0
CLOSE_LONG,3087.2,4232,3089.49,-2.2899999999999636
OPEN_SHORT,3087.2,4232,3087.2,0.0
CLOSE_SHORT,3081.3,4243,3087.2,5.899999999999636
OPEN_LONG,3081.3,4243,3081.3,0.0
CLOSE_LONG,3083.39,4279,3081.3,2.0899999999996908
OPEN_SHORT,3083.39,4279,3083.39,0.0
CLOSE_SHORT,3085.98,4285,3083.39,-2.5900000000001455
OPEN_LONG,3085.98,4285,3085.98,0.0
CLOSE_LONG,3066.18,4331,3085.98,-19.800000000000182
OPEN_SHORT,3066.18,4331,3066.18,0.0
CLOSE_SHORT,3070.78,4343,3066.18,-4.600000000000364
OPEN_LONG,3070.78,4343,3070.78,0.0
CLOSE_LONG,3033.6,4360,3070.78,-37.18000000000029
OPEN_SHORT,3033.6,4360,3033.6,0.0
CLOSE_SHORT,3051.01,4365,3033.6,-17.41000000000031
OPEN_LONG,3051.01,4365,3051.01,0.0
CLOSE_LONG,3050.89,4373,3051.01,-0.12000000000034561
OPEN_SHORT,3050.89,4373,3050.89,0.0
CLOSE_SHORT,3061.23,4378,3050.89,-10.340000000000146
OPEN_LONG,3061.23,4378,3061.23,0.0
CLOSE_LONG,3060.18,4384,3061.23,-1.050000000000182
OPEN_SHORT,3060.18,4384,3060.18,0.0
CLOSE_SHORT,3080.14,4389,3060.18,-19.960000000000036
OPEN_LONG,3080.14,4389,3080.14,0.0
CLOSE_LONG,3072.51,4416,3080.14,-7.629999999999654
OPEN_SHORT,3072.51,4416,3072.51,0.0
CLOSE_SHORT,3060.57,4431,3072.51,11.940000000000055
OPEN_LONG,3060.57,4431,3060.57,0.0
CLOSE_LONG,3074.95,4448,3060.57,14.379999999999654
OPEN_SHORT,3074.95,4448,3074.95,0.0
CLOSE_SHORT,3072.58,4459,3074.95,2.369999999999891
OPEN_LONG,3072.58,4459,3072.58,0.0
CLOSE_LONG,3129.97,4532,3072.58,57.38999999999987
OPEN_SHORT,3129.97,4532,3129.97,0.0
CLOSE_SHORT,3123.51,4553,3129.97,6.459999999999582
OPEN_LONG,3123.51,4553,3123.51,0.0
CLOSE_LONG,3118.5,4574,3123.51,-5.010000000000218
OPEN_SHORT,3118.5,4574,3118.5,0.0
CLOSE_SHORT,3110.76,4603,3118.5,7.739999999999782
OPEN_LONG,3110.76,4603,3110.76,0.0
CLOSE_LONG,3108.8,4620,3110.76,-1.9600000000000364
OPEN_SHORT,3108.8,4620,3108.8,0.0
CLOSE_SHORT,3113.92,4631,3108.8,-5.119999999999891
OPEN_LONG,3113.92,4631,3113.92,0.0
CLOSE_LONG,3118.68,4672,3113.92,4.7599999999997635
OPEN_SHORT,3118.68,4672,3118.68,0.0
CLOSE_SHORT,3123.36,4682,3118.68,-4.680000000000291
OPEN_LONG,3123.36,4682,3123.36,0.0
CLOSE_LONG,3118.65,4748,3123.36,-4.710000000000036
OPEN_SHORT,3118.65,4748,3118.65,0.0
CLOSE_SHORT,3117.11,4762,3118.65,1.5399999999999636
OPEN_LONG,3117.11,4762,3117.11,0.0
CLOSE_LONG,3125.76,4869,3117.11,8.650000000000091
OPEN_SHORT,3125.76,4869,3125.76,0.0
CLOSE_SHORT,3130.63,4883,3125.76,-4.869999999999891
OPEN_LONG,3130.63,4883,3130.63,0.0
CLOSE_LONG,3152.1,4986,3130.63,21.4699999999998
OPEN_SHORT,3152.1,4986,3152.1,0.0
CLOSE_SHORT,3155.87,4999,3152.1,-3.769999999999982
OPEN_LONG,3155.87,4999,3155.87,0.0
CLOSE_LONG,3164.67,5023,3155.87,8.800000000000182
OPEN_SHORT,3164.67,5023,3164.67,0.0
CLOSE_SHORT,3156.6,5035,3164.67,8.070000000000164
OPEN_LONG,3156.6,5035,3156.6,0.0
CLOSE_LONG,3156.63,5051,3156.6,0.03000000000020009
OPEN_SHORT,3156.63,5051,3156.63,0.0
CLOSE_SHORT,3156.63,5071,3156.63,0.0
OPEN_LONG,3156.63,5071,3156.63,0.0
CLOSE_LONG,3149.47,5088,3156.63,-7.160000000000309
OPEN_SHORT,3149.47,5088,3149.47,0.0
CLOSE_SHORT,3150.1,5094,3149.47,-0.6300000000001091
OPEN_LONG,3150.1,5094,3150.1,0.0
CLOSE_LONG,3152.56,5108,3150.1,2.4600000000000364
OPEN_SHORT,3152.56,5108,3152.56,0.0
CLOSE_SHORT,3147.84,5121,3152.56,4.7199999999998
OPEN_LONG,3147.84,5121,3147.84,0.0
CLOSE_LONG,3142.82,5171,3147.84,-5.019999999999982
OPEN_SHORT,3142.82,5171,3142.82,0.0
CLOSE_SHORT,3139.86,5177,3142.82,2.9600000000000364
OPEN_LONG,3139.86,5177,3139.86,0.0
CLOSE_LONG,3128.76,5203,3139.86,-11.099999999999909
OPEN_SHORT,3128.76,5203,3128.76,0.0
CLOSE_SHORT,3134.81,5229,3128.76,-6.049999999999727
OPEN_LONG,3134.81,5229,3134.81,0.0
CLOSE_LONG,3131.14,5249,3134.81,-3.6700000000000728
OPEN_SHORT,3131.14,5249,3131.14,0.0
CLOSE_SHORT,3129.7,5255,3131.14,1.4400000000000546
OPEN_LONG,3129.7,5255,3129.7,0.0
CLOSE_LONG,3123.03,5269,3129.7,-6.669999999999618
OPEN_SHORT,3123.03,5269,3123.03,0.0
CLOSE_SHORT,3045.65,5292,3123.03,77.38000000000011
OPEN_LONG,3045.65,5292,3045.65,0.0
CLOSE_LONG,3035.96,5299,3045.65,-9.690000000000055
OPEN_SHORT,3035.96,5299,3035.96,0.0
CLOSE_SHORT,2999.43,5316,3035.96,36.5300000000002
OPEN_LONG,2999.43,5316,2999.43,0.0
CLOSE_LONG,2989.15,5326,2999.43,-10.279999999999745
OPEN_SHORT,2989.15,5326,2989.15,0.0
CLOSE_SHORT,3011.21,5331,2989.15,-22.059999999999945
OPEN_LONG,3011.21,5331,3011.21,0.0
CLOSE_LONG,3013.0,5337,3011.21,1.7899999999999636
OPEN_SHORT,3013.0,5337,3013.0,0.0
CLOSE_SHORT,3005.0,5345,3013.0,8.0
OPEN_LONG,3005.0,5345,3005.0,0.0
CLOSE_LONG,2993.56,5378,3005.0,-11.440000000000055
OPEN_SHORT,2993.56,5378,2993.56,0.0
CLOSE_SHORT,2975.15,5397,2993.56,18.409999999999854
OPEN_LONG,2975.15,5397,2975.15,0.0
CLOSE_LONG,2975.88,5410,2975.15,0.7300000000000182
OPEN_SHORT,2975.88,5410,2975.88,0.0
CLOSE_SHORT,2969.24,5425,2975.88,6.640000000000327
OPEN_LONG,2969.24,5425,2969.24,0.0
CLOSE_LONG,2961.02,5438,2969.24,-8.2199999999998
OPEN_SHORT,2961.02,5438,2961.02,0.0
CLOSE_SHORT,2958.46,5448,2961.02,2.5599999999999454
OPEN_LONG,2958.46,5448,2958.46,0.0
CLOSE_LONG,2937.04,5457,2958.46,-21.420000000000073
OPEN_SHORT,2937.04,5457,2937.04,0.0
CLOSE_SHORT,2937.1,5471,2937.04,-0.05999999999994543
OPEN_LONG,2937.1,5471,2937.1,0.0
CLOSE_LONG,2927.54,5487,2937.1,-9.559999999999945
OPEN_SHORT,2927.54,5487,2927.54,0.0
CLOSE_SHORT,2913.54,5506,2927.54,14.0
OPEN_LONG,2913.54,5506,2913.54,0.0
CLOSE_LONG,2949.39,5533,2913.54,35.84999999999991
OPEN_SHORT,2949.39,5533,2949.39,0.0
CLOSE_SHORT,2934.93,5542,2949.39,14.460000000000036
OPEN_LONG,2934.93,5542,2934.93,0.0
CLOSE_LONG,2949.6,5562,2934.93,14.670000000000073
OPEN_SHORT,2949.6,5562,2949.6,0.0
CLOSE_SHORT,2936.83,5577,2949.6,12.769999999999982
OPEN_LONG,2936.83,5577,2936.83,0.0
CLOSE_LONG,2929.22,5587,2936.83,-7.610000000000127
OPEN_SHORT,2929.22,5587,2929.22,0.0
CLOSE_SHORT,2923.5,5608,2929.22,5.7199999999998
OPEN_LONG,2923.5,5608,2923.5,0.0
CLOSE_LONG,2938.57,5629,2923.5,15.070000000000164
